player_id,player_name,team_name,team_short,position,jersey_number,is_starter,vmax_kmh,threshold_kmh,low_confidence,games_appeared,total_runs,runs_per_game,total_hsr_distance_m,hsr_distance_per_game_m,mean_duration_sec,mean_pct_of_vmax_pct,tournament_peak_speed_kmh,mean_peak_speed_kmh
7535,Karol Swiderski,Poland,POL,CF,16,false,20.98,15.74,false,1,12,12.0,132.1,132.1,2.1,94.5,25.42,19.83
7571,Alan Franco,Ecuador,ECU,CM,21,false,19.89,14.92,false,2,24,12.0,195.8,97.9,1.71,91.4,24.81,18.18
4265,Gideon Mensah,Ghana,GHA,LB,14,false,21.29,15.97,false,1,12,12.0,150.6,150.6,2.12,107.9,45.0,22.97
3934,Karl Toko Ekambi,Cameroon,CMR,LW,12,true,22.16,16.62,false,3,36,12.0,427.6,142.5,2.06,98.5,36.47,21.82
13462,Martín Cáceres,Uruguay,URU,RB,22,true,22.08,16.56,false,1,12,12.0,166.6,166.6,2.29,106.8,43.2,23.58
13919,Seung-ho Paik,South Korea,KOR,CM,8,false,18.46,13.84,false,1,12,12.0,114.1,114.1,2.05,95.7,22.03,17.66
13785,Gerson Torres,Costa Rica,CRC,RM,13,false,21.32,15.99,false,1,12,12.0,111.7,111.7,1.63,101.8,31.26,21.71
6925,Ilias Chair,Morocco,MAR,CAM,13,false,21.66,16.24,false,1,12,12.0,163.8,163.8,2.47,96.8,32.49,20.97
144,Emiliano Martínez,Argentina,ARG,GK,23,true,13.08,9.81,false,7,83,11.86,658.6,94.1,1.61,160.4,45.0,20.99
16,Kyle Walker,England,ENG,RB,2,false,21.76,16.32,false,3,35,11.67,414.0,138.0,2.0,106.6,38.64,23.2
4712,Marcus Thuram,France,FRA,LW,26,false,21.37,16.03,false,3,35,11.67,463.0,154.3,2.38,97.3,38.38,20.8
3994,Arkadiusz Milik,Poland,POL,CF,7,false,20.12,15.09,false,3,35,11.67,361.7,120.6,2.07,95.4,28.57,19.2
1672,Thibaut Courtois,Belgium,BEL,GK,1,true,12.44,9.33,false,3,35,11.67,260.9,87.0,1.7,153.5,45.0,19.1
4020,Kamaldeen Sulemana,Ghana,GHA,LW,22,false,19.31,14.48,false,2,23,11.5,230.3,115.2,2.06,94.8,31.55,18.31
14024,Ferjani Sassi,Tunisia,TUN,CM,13,false,19.9,14.92,false,2,23,11.5,198.7,99.3,1.76,92.4,26.96,18.39
8631,Georges-Kevin N'Koudou,Cameroon,CMR,LW,7,false,18.67,14.0,false,2,23,11.5,196.2,98.1,1.88,90.7,20.39,16.94
13970,Roozbeh Cheshmi,Iran,IRN,UNK,15,true,18.03,13.52,false,2,23,11.5,204.6,102.3,1.97,95.5,24.4,17.21
3878,Axel Disasi,France,FRA,RCB,3,false,20.18,15.13,false,2,23,11.5,249.0,124.5,2.01,102.6,40.96,20.7
13044,Jawad El Yamiq,Morocco,MAR,RCB,18,false,23.74,17.8,false,5,57,11.4,750.1,150.0,2.12,100.0,39.07,23.72
13782,Anthony Contreras,Costa Rica,CRC,CF,7,true,20.75,15.56,false,3,34,11.33,362.1,120.7,1.98,97.7,29.82,20.27
4602,Manuel Neuer,Germany,GER,GK,1,true,14.49,10.87,false,3,34,11.33,299.9,100.0,1.74,144.1,45.0,20.89
435,Mathew Ryan,Australia,AUS,GK,1,true,15.11,11.33,false,4,45,11.25,432.9,108.2,1.95,131.9,45.0,19.93
3890,Youssouf Fofana,France,FRA,CM,13,false,19.45,14.58,false,6,67,11.17,611.9,102.0,1.87,93.5,43.53,18.19
42,Trent Alexander-Arnold,England,ENG,RB,18,false,22.53,16.9,false,1,11,11.0,122.7,122.7,1.91,98.6,31.39,22.22
13973,Hossein Kanaani,Iran,IRN,RCB,13,false,19.56,14.67,false,1,11,11.0,123.6,123.6,2.28,97.3,22.89,19.03
13151,Srdjan Babic,Serbia,SRB,LCB,15,false,17.43,13.07,false,1,11,11.0,101.4,101.4,2.19,90.5,18.28,15.77
7955,Rubin Colwill,Wales,WAL,CAM,25,false,16.62,12.47,false,1,11,11.0,63.7,63.7,1.44,92.3,19.2,15.35
13799,Shuichi Gonda,Japan,JPN,GK,12,true,12.9,9.68,false,4,44,11.0,380.4,95.1,1.74,158.4,45.0,20.44
13822,Jason Cummings,Australia,AUS,CF,25,false,19.97,14.98,false,1,11,11.0,132.2,132.2,2.39,94.8,22.84,18.94
13949,Tarek Salman,Qatar,QAT,RCB,5,false,16.1,12.08,false,1,11,11.0,78.3,78.3,1.82,90.3,16.28,14.54
13876,Christian Bassogog,Cameroon,CMR,RW,11,false,20.29,15.22,false,1,11,11.0,105.7,105.7,1.92,90.0,21.71,18.26
14021,Ghaylen Chaaleli,Tunisia,TUN,CM,18,false,17.44,13.08,false,1,11,11.0,100.3,100.3,2.15,89.3,18.96,15.57
1394,Alvaro Morata,Spain,ESP,CF,7,false,21.32,15.99,false,4,43,10.75,496.6,124.2,2.14,96.9,41.24,20.66
13021,Abde Ezzalzouli,Morocco,MAR,LW,16,false,19.85,14.88,false,3,32,10.67,315.6,105.2,1.94,97.4,40.12,19.34
13865,Badr Benoun,Morocco,MAR,RCB,24,false,17.48,13.11,false,2,21,10.5,171.2,85.6,1.9,92.4,20.58,16.16
11854,Alexander Bah,Denmark,DEN,RB,26,false,22.15,16.61,false,2,21,10.5,235.8,117.9,2.02,96.6,29.66,21.39
4739,Ajdin Hrustic,Australia,AUS,CM,10,false,20.77,15.58,false,3,31,10.33,312.1,104.0,2.01,89.2,28.71,18.53
8138,Lautaro Martinez,Argentina,ARG,CF,22,true,20.62,15.47,false,6,62,10.33,686.3,114.4,2.13,98.1,36.43,20.24
4194,Randal Kolo Muani,France,FRA,CF,12,false,22.49,16.86,false,3,31,10.33,399.2,133.1,2.22,96.7,31.7,21.77
13987,Mohammed Al-Owais,Saudi Arabia,KSA,GK,21,true,14.74,11.05,false,3,31,10.33,292.4,97.5,1.86,143.1,45.0,21.1
8419,Gonzalo Montiel,Argentina,ARG,RB,4,false,19.81,14.86,false,3,30,10.0,315.3,105.1,2.12,94.4,26.09,18.71
4912,André Silva,Portugal,POR,CF,9,false,22.7,17.02,false,1,10,10.0,109.4,109.4,1.98,90.6,26.22,20.57
13873,Pierre Kunde,Cameroon,CMR,CM,15,false,23.36,17.52,false,2,20,10.0,282.2,141.1,2.26,103.8,34.96,24.25
4021,Jérémy Doku,Belgium,BEL,RW,25,false,17.09,12.81,false,1,10,10.0,92.2,92.2,2.24,93.2,18.85,15.92
14034,Lawrence Ati Zigi,Ghana,GHA,GK,1,true,13.97,10.48,false,3,30,10.0,252.7,84.2,1.73,147.2,45.0,20.56
4713,Jonas Hofmann,Germany,GER,CAM,18,false,19.67,14.75,false,2,20,10.0,187.3,93.7,1.98,88.8,21.8,17.47
13942,Meshaal Barsham,Qatar,QAT,GK,22,false,15.15,11.36,false,2,20,10.0,193.8,96.9,1.73,148.2,45.0,22.45
444,Tariq Lamptey,Ghana,GHA,RB,2,false,23.07,17.31,false,2,20,10.0,264.6,132.3,2.16,105.3,42.54,24.31
13560,Anass Zaroury,Morocco,MAR,LW,10,false,18.0,13.5,false,1,10,10.0,91.9,91.9,2.06,92.9,19.89,16.73
2059,Edouard Mendy,Senegal,SEN,GK,16,true,14.31,10.73,false,4,39,9.75,406.9,101.7,2.05,142.0,45.0,20.32
6019,Nikola Vlasic,Croatia,CRO,RW,13,true,20.36,15.27,false,6,58,9.67,558.9,93.1,1.91,93.7,34.03,19.08
132,Fred,Brazil,BRA,CM,8,false,22.15,16.61,false,3,29,9.67,314.6,104.9,1.92,97.1,34.2,21.51
13920,Jun-ho Son,South Korea,KOR,CDM,13,false,18.3,13.73,false,3,29,9.67,239.4,79.8,1.78,94.4,26.44,17.27
4622,Kingsley Coman,France,FRA,RW,20,false,21.0,15.75,false,5,48,9.6,506.8,101.4,1.97,96.2,38.52,20.21
14000,Nawaf Al-Abed,Saudi Arabia,KSA,CAM,18,false,20.49,15.37,false,2,19,9.5,181.4,90.7,1.84,95.8,26.29,19.64
8059,Dušan Vlahović,Serbia,SRB,CF,18,false,20.14,15.11,false,2,19,9.5,220.2,110.1,2.3,94.5,22.73,19.04
2099,Takuma Asano,Japan,JPN,RW,18,false,21.78,16.34,false,4,38,9.5,488.5,122.1,2.3,97.1,29.36,21.14
13984,Karim Ansarifard,Iran,IRN,CF,10,false,18.05,13.54,false,2,19,9.5,179.6,89.8,2.04,96.0,34.27,17.33
4779,Nico Schlotterbeck,Germany,GER,LCB,23,true,20.35,15.26,false,2,19,9.5,199.3,99.6,1.94,104.8,29.9,21.32
13926,Diego Godin,Uruguay,URU,RCB,3,true,19.1,14.32,false,2,19,9.5,258.9,129.5,2.5,109.5,42.64,20.92
1287,José Cifuentes,Ecuador,ECU,CM,5,false,19.42,14.57,false,2,19,9.5,226.2,113.1,2.48,93.2,22.53,18.1
8538,Diogo Costa,Portugal,POR,GK,22,true,13.1,9.82,false,5,47,9.4,385.6,77.1,1.75,146.7,45.0,19.21
12862,Wajdi Kechrida,Tunisia,TUN,RM,21,false,23.56,17.67,false,3,28,9.33,385.4,128.5,2.28,99.1,34.03,23.34
13860,Marko Livaja,Croatia,CRO,CF,14,false,23.0,17.25,false,6,56,9.33,648.7,108.1,1.95,98.3,38.57,22.6
12315,Sam Adekugbe,Canada,CAN,LB,3,false,21.51,16.14,false,3,28,9.33,304.9,101.6,2.0,97.9,33.31,21.03
136,Marcus Rashford,England,ENG,LW,11,false,21.69,16.27,false,4,37,9.25,387.2,96.8,1.91,95.7,30.53,20.76
4925,Hiroki Ito,Japan,JPN,LCB,26,false,19.31,14.48,false,1,9,9.0,106.2,106.2,2.36,99.3,23.64,19.18
13968,Alireza Beiranvand,Iran,IRN,GK,1,true,11.07,8.3,false,2,18,9.0,124.2,62.1,1.69,147.1,45.0,16.28
1383,Koke,Spain,ESP,CM,8,false,19.78,14.84,false,2,18,9.0,170.6,85.3,1.95,90.6,21.15,17.92
12537,Nicola Zalewski,Poland,POL,LM,21,true,19.3,14.48,false,2,18,9.0,165.7,82.8,1.91,92.3,24.23,17.82
455,Leandro Trossard,Belgium,BEL,LW,17,false,23.31,17.48,false,3,27,9.0,339.4,113.1,2.14,97.0,30.25,22.62
6,Ederson,Brazil,BRA,GK,23,false,15.41,11.56,false,1,9,9.0,100.2,100.2,1.95,147.5,45.0,22.73
13795,Alvaro Zamora,Costa Rica,CRC,LM,26,false,22.5,16.87,false,1,9,9.0,125.6,125.6,2.46,98.0,25.92,22.04
74,Eric Dier,England,ENG,RCB,15,false,18.38,13.78,false,2,18,9.0,209.6,104.8,2.54,93.6,22.95,17.2
13859,Mislav Orsic,Croatia,CRO,LW,18,false,20.86,15.64,false,4,35,8.75,428.7,107.2,2.27,94.7,31.42,19.77
13963,Mohammed Muntari,Qatar,QAT,CF,9,false,17.36,13.02,false,3,26,8.67,212.4,70.8,1.92,92.7,20.32,16.08
3989,Nemanja Radonjic,Serbia,SRB,LW,7,false,21.75,16.31,false,3,26,8.67,278.8,92.9,1.97,94.1,27.69,20.48
1697,Rodrygo,Brazil,BRA,RW,21,false,21.24,15.93,false,5,43,8.6,445.9,89.2,1.91,97.2,37.48,20.65
13178,Nico Williams,Spain,ESP,RW,12,false,22.5,16.88,false,4,34,8.5,403.3,100.8,2.05,98.3,38.17,22.12
4851,Krzysztof Piatek,Poland,POL,CF,23,false,18.56,13.92,false,2,17,8.5,125.2,62.6,1.63,91.5,21.12,16.98
32,Alisson,Brazil,BRA,GK,1,true,14.92,11.19,false,4,34,8.5,356.9,89.2,1.83,166.7,45.0,24.87
371,Jack Grealish,England,ENG,LW,7,false,20.0,15.0,false,4,34,8.5,336.4,84.1,1.99,95.7,30.46,19.15
13958,Mohammed Waad,Qatar,QAT,CDM,4,false,17.2,12.9,false,2,17,8.5,143.4,71.7,1.97,95.7,22.13,16.46
14029,Taha Yassine Khenissi,Tunisia,TUN,CF,11,false,19.28,14.46,false,2,17,8.5,153.7,76.8,1.93,89.0,20.4,17.16
13825,Garang Kuol,Australia,AUS,CF,21,false,20.42,15.32,false,2,17,8.5,194.6,97.3,2.28,92.6,23.58,18.91
13869,Walid Cheddira,Morocco,MAR,CF,21,false,20.67,15.5,false,2,17,8.5,192.7,96.3,2.21,94.6,28.9,19.55
13787,Youstin Salas,Costa Rica,CRC,CDM,14,false,20.59,15.44,false,2,17,8.5,186.3,93.1,2.12,93.4,25.91,19.22
8113,Noah Okafor,Switzerland,SUI,CF,19,false,14.34,10.76,false,3,25,8.33,203.6,67.9,2.27,96.5,20.89,13.84
3343,Guillermo Ochoa,Mexico,MEX,GK,13,true,14.39,10.79,false,3,25,8.33,303.5,101.2,2.02,175.6,45.0,25.28
13790,Brandon Aguilera,Costa Rica,CRC,CAM,20,false,20.32,15.24,false,3,25,8.33,237.0,79.0,1.84,96.3,31.28,19.57
8039,Antony,Brazil,BRA,RW,19,false,21.55,16.16,false,4,33,8.25,375.9,94.0,2.04,100.0,31.24,21.55
975,Ronald Matarrita,Costa Rica,CRC,LB,22,false,18.17,13.63,false,2,16,8.0,142.0,71.0,2.0,93.5,23.33,16.99
3315,Vincent Janssen,Netherlands,NED,CF,18,true,20.39,15.3,false,2,16,8.0,163.8,81.9,1.9,97.4,29.41,19.87
2005,Kalvin Phillips,England,ENG,CDM,14,false,20.51,15.38,false,1,8,8.0,83.9,83.9,1.93,98.6,26.47,20.21
9290,Bailey Wright,Australia,AUS,RCB,8,false,19.11,14.33,false,1,8,8.0,73.6,73.6,1.91,96.6,21.25,18.45
1812,Luuk de Jong,Netherlands,NED,CF,9,false,20.09,15.07,false,1,8,8.0,98.6,98.6,2.47,93.3,21.58,18.74
13991,Mohammed Al-Burayk,Saudi Arabia,KSA,RB,6,false,26.46,19.85,false,1,8,8.0,131.7,131.7,2.24,106.2,40.08,28.09
8011,Haris Seferovic,Switzerland,SUI,CF,9,false,20.79,15.59,false,3,24,8.0,317.8,105.9,2.54,96.0,25.08,19.97
