game_id,player_id,period_id,run_id,start_frame_id,end_frame_id,duration_sec,peak_speed_kmh,mean_speed_kmh,vmax_kmh,pct_of_vmax,distance_m,start_x,start_y,end_x,end_y,player_name,team_name,team_short,position,date,home_team_name,away_team_name,competition_name,stadium_name,week
3813,13975,1,10,96897,96966,2.8,23.5862,22.125816,23.40002,1.0079564,17.20897,13.131,-11.217,20.378,4.11,Milad Mohammadi,Iran,IRN,LWB,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,13975,1,12,97167,97191,1.0,22.629232,21.837894,23.40002,0.9670604,6.066082,17.913,-1.709,16.791,-7.414,Milad Mohammadi,Iran,IRN,LWB,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,13975,1,13,100615,100643,1.16,19.838003,19.500698,23.40002,0.8477772,6.2835584,11.818,-2.548,12.531,3.485,Milad Mohammadi,Iran,IRN,LWB,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,13975,1,14,104250,104305,2.24,22.323002,21.673489,23.40002,0.9539736,13.485726,-15.388,-13.329,-28.628,-13.259,Milad Mohammadi,Iran,IRN,LWB,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,13976,1,1,79174,79205,1.28,22.147024,21.629496,25.36676,0.8730726,7.6904874,-10.848,1.844,-18.288,2.431,Sadegh Moharrami,Iran,IRN,RWB,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,13976,2,2,114027,114063,1.48,36.126003,32.729668,25.36676,1.4241472,13.45553,-4.512,1.072,-7.875,-11.541,Sadegh Moharrami,Iran,IRN,RWB,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,13976,2,5,162539,162596,2.32,21.474579,21.049147,25.36676,0.8465637,13.565005,7.666,-31.634,20.97,-32.589,Sadegh Moharrami,Iran,IRN,RWB,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,13976,2,6,169319,169357,1.56,23.99361,23.025635,25.36676,0.94586813,9.977775,-26.543,9.544,-23.331,0.337,Sadegh Moharrami,Iran,IRN,RWB,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,13976,2,11,181551,181575,1.0,24.67327,22.950947,25.36676,0.97266144,6.375263,-3.189,11.579,-3.295,5.432,Sadegh Moharrami,Iran,IRN,RWB,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,13976,2,16,189297,189329,1.32,25.45141,24.953363,25.36676,1.003337,9.149567,-18.371,0.298,-15.379,-8.065,Sadegh Moharrami,Iran,IRN,RWB,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,13980,2,1,117019,117046,1.12,20.147549,19.403889,22.428015,0.8983206,6.0367656,9.819,-0.026,8.351,5.612,Saeid Ezatolahi,Iran,IRN,CDM,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,13980,2,5,193062,193088,1.08,20.346605,19.350338,22.428015,0.907196,5.8051014,-11.991,9.71,-17.577,9.269,Saeid Ezatolahi,Iran,IRN,CDM,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,13981,2,3,116761,116794,1.36,27.447489,25.937191,29.049221,0.9448614,9.798494,-2.643,8.622,-0.076,-0.565,Ali Gholizadeh,Iran,IRN,RW,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,13981,2,5,156778,156806,1.16,26.131786,24.903917,29.049221,0.8995693,8.024595,-0.259,15.735,7.406,16.764,Ali Gholizadeh,Iran,IRN,RW,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,13982,1,1,13532,13563,1.28,23.127398,21.860975,24.943174,0.9272035,7.7727914,-14.831,-14.563,-13.493,-7.133,Ahmad Nourollahi,Iran,IRN,CM,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,13982,1,2,13566,13615,2.0,23.481913,22.886778,24.943174,0.9414164,12.714876,-13.357,-6.372,-11.315,5.916,Ahmad Nourollahi,Iran,IRN,CM,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,13982,1,3,75494,75546,2.12,24.31684,22.320246,24.943174,0.9748895,13.144145,12.072,-16.436,-0.062,-12.013,Ahmad Nourollahi,Iran,IRN,CM,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,13982,1,4,75579,75633,2.2,25.051708,23.197279,24.943174,1.0043513,14.176115,-8.57,-8.749,-21.897,-4.838,Ahmad Nourollahi,Iran,IRN,CM,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,13982,2,5,114027,114062,1.44,28.499893,24.831055,24.943174,1.1425929,9.932422,-8.553,7.479,-7.425,-2.07,Ahmad Nourollahi,Iran,IRN,CM,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,13982,2,7,116362,116387,1.04,26.590242,23.708704,24.943174,1.0660328,6.849181,13.493,5.798,10.945,-0.239,Ahmad Nourollahi,Iran,IRN,CM,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,13982,2,9,139975,140011,1.48,20.753376,20.523521,24.943174,0.83202624,8.437448,5.531,-25.285,13.274,-22.54,Ahmad Nourollahi,Iran,IRN,CM,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,13982,2,11,140183,140243,2.44,24.968836,23.217573,24.943174,1.0010288,15.736355,21.818,-10.559,7.43,-4.765,Ahmad Nourollahi,Iran,IRN,CM,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,13982,2,12,147618,147660,1.72,21.87672,21.2668,24.943174,0.8770624,10.160805,8.977,-7.194,16.896,-13.195,Ahmad Nourollahi,Iran,IRN,CM,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
3813,13982,2,13,162525,162595,2.84,24.269972,23.006908,24.943174,0.97301054,18.149895,-3.566,-13.256,13.117,-19.702,Ahmad Nourollahi,Iran,IRN,CM,2022-11-21T13:00:00,England,Iran,FIFA Men's World Cup,Khalifa International Stadium,1
