player_id,player_name,team_name,team_short,position,jersey_number,vmax_kmh,threshold_kmh,n_games,runs_absolute,runs_relative,run_delta,pct_change,category,runs_per_game_absolute,runs_per_game_relative
7008,Brennan Johnson,Wales,WAL,CF,9,19.95,15.96,3,4,18,14,350.0,gained,1.33,6.0
13800,Ayase Ueda,Japan,JPN,CF,21,17.39,13.91,1,0,14,14,,gained,0.0,14.0
1287,José Cifuentes,Ecuador,ECU,CM,5,19.42,15.54,2,2,16,14,700.0,gained,1.0,8.0
4737,Jesper Lindström,Denmark,DEN,CAM,25,23.35,18.68,2,23,37,14,60.9,gained,11.5,18.5
3989,Nemanja Radonjic,Serbia,SRB,LW,7,21.75,17.4,3,7,21,14,200.0,gained,2.33,7.0
3299,César Montes,Mexico,MEX,RCB,3,21.69,17.35,3,20,33,13,65.0,gained,6.67,11.0
13851,Michal Skoras,Poland,POL,RW,26,17.85,14.28,1,1,14,13,1300.0,gained,1.0,14.0
13929,Nicolas De La Cruz,Uruguay,URU,CM,7,20.21,16.17,2,3,16,13,433.3,gained,1.5,8.0
428,Ismaïla Sarr,Senegal,SEN,LW,18,22.97,18.38,4,33,46,13,39.4,gained,8.25,11.5
13999,Salman Al-Faraj,Saudi Arabia,KSA,CM,7,17.33,13.87,1,0,13,13,,gained,0.0,13.0
13860,Marko Livaja,Croatia,CRO,CF,14,23.0,18.4,6,26,39,13,50.0,gained,4.33,6.5
1536,Martin Braithwaite,Denmark,DEN,CF,9,21.57,17.25,2,10,23,13,130.0,gained,5.0,11.5
4712,Marcus Thuram,France,FRA,LW,26,21.37,17.1,3,13,26,13,100.0,gained,4.33,8.67
4868,David Raum,Germany,GER,LB,3,22.78,18.22,3,30,43,13,43.3,gained,10.0,14.33
802,Jesús Ferreira,United States,USA,CF,9,19.85,15.88,1,2,15,13,650.0,gained,2.0,15.0
8631,Georges-Kevin N'Koudou,Cameroon,CMR,LW,7,18.67,14.94,2,0,13,13,,gained,0.0,6.5
13984,Karim Ansarifard,Iran,IRN,CF,10,18.05,14.44,2,1,14,13,1300.0,gained,0.5,7.0
13901,Pape Abou Cissé,Senegal,SEN,LCB,4,19.67,15.73,1,7,20,13,185.7,gained,7.0,20.0
136,Marcus Rashford,England,ENG,LW,11,21.69,17.36,4,14,27,13,92.9,gained,3.5,6.75
4656,Gregor Kobel,Switzerland,SUI,GK,21,12.82,10.26,1,2,15,13,650.0,gained,2.0,15.0
6596,Jeremy Sarmiento,Ecuador,ECU,CAM,16,20.37,16.29,3,5,18,13,260.0,gained,1.67,6.0
9918,Mario Götze,Germany,GER,CAM,11,19.06,15.25,2,2,15,13,650.0,gained,1.0,7.5
5070,Saman Ghoddos,Iran,IRN,CAM,14,20.76,16.61,1,4,17,13,325.0,gained,4.0,17.0
9980,Daniel-Kofi Kyereh,Ghana,GHA,CAM,8,19.92,15.94,3,2,14,12,600.0,gained,0.67,4.67
975,Ronald Matarrita,Costa Rica,CRC,LB,22,18.17,14.54,2,0,12,12,,gained,0.0,6.0
7571,Alan Franco,Ecuador,ECU,CM,21,19.89,15.91,2,1,13,12,1200.0,gained,0.5,6.5
14005,Sami Al-Najei,Saudi Arabia,KSA,CAM,16,20.02,16.02,1,3,15,12,400.0,gained,3.0,15.0
3878,Axel Disasi,France,FRA,RCB,3,20.18,16.14,2,7,19,12,171.4,gained,3.5,9.5
13796,Miki Yamane,Japan,JPN,RB,2,17.4,13.92,1,2,14,12,600.0,gained,2.0,14.0
3934,Karl Toko Ekambi,Cameroon,CMR,LW,12,22.16,17.73,3,15,27,12,80.0,gained,5.0,9.0
127,Diogo Dalot,Portugal,POR,RB,2,23.42,18.74,3,25,37,12,48.0,gained,8.33,12.33
13948,Bassam Al-Rawi,Qatar,QAT,RCB,15,19.46,15.57,1,3,15,12,400.0,gained,3.0,15.0
83,Heung-min Son,South Korea,KOR,LW,7,23.26,18.61,4,38,50,12,31.6,gained,9.5,12.5
8039,Antony,Brazil,BRA,RW,19,21.55,17.24,4,15,27,12,80.0,gained,3.75,6.75
1880,Andres Guardado,Mexico,MEX,CM,18,17.21,13.77,1,0,11,11,,gained,0.0,11.0
13178,Nico Williams,Spain,ESP,RW,12,22.5,18.0,4,16,27,11,68.8,gained,4.0,6.75
8324,Joakim Maehle,Denmark,DEN,LWB,5,23.79,19.03,3,39,50,11,28.2,gained,13.0,16.67
13990,Yasser Al-Shahrani,Saudi Arabia,KSA,LB,13,20.6,16.48,1,5,16,11,220.0,gained,5.0,16.0
13044,Jawad El Yamiq,Morocco,MAR,RCB,18,23.74,18.99,5,32,43,11,34.4,gained,6.4,8.6
12315,Sam Adekugbe,Canada,CAN,LB,3,21.51,17.21,3,10,21,11,110.0,gained,3.33,7.0
13968,Alireza Beiranvand,Iran,IRN,GK,1,11.07,8.85,2,3,14,11,366.7,gained,1.5,7.0
1829,Carlos Soler,Spain,ESP,CM,19,19.57,15.66,2,5,16,11,220.0,gained,2.5,8.0
9963,Niclas Fullkrug,Germany,GER,CF,9,19.08,15.27,3,2,13,11,550.0,gained,0.67,4.33
7605,Olivier Ntcham,Cameroon,CMR,CM,22,19.56,15.65,1,1,12,11,1100.0,gained,1.0,12.0
4713,Jonas Hofmann,Germany,GER,CAM,18,19.67,15.74,2,1,12,11,1100.0,gained,0.5,6.0
201,Danny Ward,Wales,WAL,GK,12,10.86,8.69,2,1,12,11,1100.0,gained,0.5,6.0
9865,Zakaria Aboukhlal,Morocco,MAR,RW,14,20.54,16.43,3,7,18,11,157.1,gained,2.33,6.0
13926,Diego Godin,Uruguay,URU,RCB,3,19.1,15.28,2,4,15,11,275.0,gained,2.0,7.5
4897,Lukas Klostermann,Germany,GER,RCB,16,20.35,16.28,2,3,14,11,366.7,gained,1.5,7.0
11994,Dries Mertens,Belgium,BEL,CF,14,20.7,16.56,2,9,20,11,122.2,gained,4.5,10.0
3968,Steve Mandanda,France,FRA,GK,16,12.61,10.08,1,1,12,11,1100.0,gained,1.0,12.0
1289,Mark-Anthony Kaye,Canada,CAN,CM,14,20.0,16.0,1,2,13,11,550.0,gained,2.0,13.0
13226,German Pezzella,Argentina,ARG,RCB,6,17.59,14.08,3,1,12,11,1100.0,gained,0.33,4.0
13790,Brandon Aguilera,Costa Rica,CRC,CAM,20,20.32,16.26,3,6,17,11,183.3,gained,2.0,5.67
